Time Taken,Nodes Visited,Algorithm Depth,Best Moves Count,Cakes Count,Score
0.17009256401797757,460,2,2,20,0
0.071239595010411,129,2,2,20,0
0.1956149860052392,140,2,2,20,0
0.5365465880022384,286,2,2,20,10
0.2296212040237151,101,2,2,20,20
0.21533235599054024,146,2,2,20,40
0.42619666102109477,373,2,2,20,70
0.05196055298438296,163,2,2,20,100
0.07019607198890299,177,2,2,20,100
0.18630403699353337,276,2,2,20,100
0.07616532203974202,75,2,2,20,100
0.07434507895959541,100,2,2,20,110
0.20701848197495565,203,2,2,20,130
0.09392821497749537,55,2,2,20,130
0.09877830400364473,103,2,2,20,160
0.23334674997022375,203,2,2,20,170
0.0800393579993397,75,2,2,20,180
0.15339287801180035,71,2,2,20,200
0.12574325496098027,77,2,2,20,210
9.275099728256464e-05,1,2,0,20,250
2.214476231019944,3484,3,3,20,0
2.7018972149817273,2169,3,3,20,0
2.7691350280074403,1616,3,3,20,0
3.477725584001746,1794,3,3,20,10
2.1447822739719413,1583,3,3,20,20
2.215695237973705,1802,3,3,20,40
2.3993868730030954,2639,3,3,20,70
1.4559111749986187,3187,3,3,20,100
1.2700124989496544,2197,3,3,20,100
1.1805981349898502,1580,3,3,20,100
0.7070312489522621,891,3,3,20,100
0.4151218900224194,538,3,3,20,100
0.8187942570075393,593,3,3,20,110
0.39075125998351723,272,3,3,20,110
0.6781875300221145,611,3,3,20,140
0.6997145740315318,604,3,3,20,160
0.4077633889974095,207,3,3,20,160
0.13704564300132915,78,3,3,20,160
8.010899182409048e-05,1,3,0,20,240
354.16058429697296,58708,4,4,20,0
73.6541195710306,24153,4,4,20,0
22.800591748033185,9226,4,4,20,0
78.54987448599422,25947,4,4,20,10
31.39465796703007,16803,4,4,20,20
15.397222325962503,10940,4,4,20,40
184.02202823199332,41867,4,4,20,70
134.59431438997854,39651,4,4,20,100
12.081052655004896,12469,4,4,20,100
27.133952216012403,18302,4,4,20,100
7.452030773973092,6723,4,4,20,100
1.7810351899825037,1824,4,4,20,100
5.028450421988964,4793,4,4,20,110
1.9883607649826445,1622,4,4,20,110
2.5539904549950734,2360,4,4,20,140
6.54069894796703,3947,4,4,20,160
3.2911285419831984,2443,4,4,20,180
9.924604091793299e-05,1,4,0,20,250
